u,g,r,i,z,class
20.181070000000002,20.20686,20.416529999999998,20.6426,21.05353,O
18.28059,17.15464,16.72188,16.56321,16.49129,F
19.86599,18.78041,18.369139999999998,18.23196,18.17995,F
17.732689999999998,16.47768,15.992770000000002,15.81986,15.73589,F
17.732670000000002,16.831129999999998,16.5954,16.5055,16.475820000000002,A
18.6826,17.67566,17.45824,17.379070000000002,17.35776,F
20.398020000000002,19.2136,19.05573,18.99341,19.02991,A
17.96453,16.74305,16.7929,16.86905,16.88857,A
18.95786,17.98653,17.657329999999998,17.542360000000002,17.49081,F
18.042720000000003,17.13815,16.880979999999997,16.82056,16.7819,A
18.964779999999998,17.94891,17.860229999999998,17.88082,17.92993,A
20.439970000000002,19.15075,19.2161,19.395210000000002,19.54334,A
21.05284,19.86562,19.53773,19.48376,19.38583,F
19.49111,18.34901,17.92878,17.76132,17.68279,F
20.52289,19.33959,18.97186,18.824720000000003,18.83138,F
20.47384,19.3972,19.07994,19.117379999999997,18.95028,F
19.56588,18.26415,17.73959,17.50406,17.37696,F
20.75848,19.78586,19.445420000000002,19.3376,19.3811,F
20.51955,19.49316,19.20402,19.09858,19.177979999999998,F
20.475820000000002,19.26886,18.97639,18.867729999999998,18.86948,F
21.73783,20.634629999999998,20.2732,20.13433,20.07755,F
21.11421,19.98976,19.630879999999998,19.47417,19.46161,F
20.46186,19.450039999999998,19.168329999999997,19.1278,19.1662,F
20.80861,19.81532,19.53734,19.49648,19.51644,F
20.9642,19.83635,19.47738,19.37523,19.3085,F
20.7157,19.54767,19.204320000000003,19.09122,19.00666,F
20.364910000000002,19.310760000000002,18.96583,18.7954,18.75929,F
20.62416,19.67061,19.342879999999997,19.2132,19.16198,F
21.357470000000003,20.20061,19.8426,19.76972,19.53142,F
20.407429999999998,19.526410000000002,19.1971,19.08768,19.08212,F
20.88286,19.70885,19.39095,19.237560000000002,19.31831,F
20.37284,19.228360000000002,18.99611,18.91696,18.97239,F
20.51339,19.47561,19.16687,18.99578,19.0148,F
19.61804,18.2937,17.78523,17.61712,17.53998,F
21.757579999999997,20.23152,20.26183,20.24616,20.25664,A
20.56341,19.5857,19.22361,19.13909,19.09605,F
20.592670000000002,19.48788,19.199479999999998,19.09421,19.11131,F
19.912020000000002,18.4004,17.82488,17.6005,17.52562,F
20.4902,19.24381,18.908839999999998,18.77874,18.81363,F
20.72786,19.64741,19.363870000000002,19.236710000000002,19.2944,F
20.89034,19.80005,19.44155,19.286070000000002,19.207620000000002,F
20.31808,19.215510000000002,19.022070000000003,18.97022,18.94851,A
20.61022,19.52819,19.20751,19.10163,19.048920000000003,F
20.44805,19.38705,19.071360000000002,19.01742,19.0141,F
19.28112,18.20257,17.83993,17.72488,17.68725,F
21.1221,20.1784,19.87327,19.796879999999998,19.66498,A
21.289,20.277620000000002,19.92524,19.79759,19.81377,F
19.41246,18.317420000000002,17.94029,17.81456,17.79151,F
18.15837,17.14217,16.92008,16.845370000000003,16.83693,A
18.79125,17.84071,17.546789999999998,17.426820000000003,17.357860000000002,A
19.76268,19.296120000000002,18.474629999999998,18.33331,18.31616,A
19.501279999999998,18.36192,18.2766,18.30525,18.24694,A
